Attribute,Value
currency,USD
dayHigh,160.33999633789062
dayLow,157.85000610351562
exchange,NMS
fiftyDayAverage,148.34019989013672
lastPrice,160.25
lastVolume,59196500
marketCap,2535459439104.0
open,158.86000061035156
previousClose,159.23
quoteType,EQUITY
regularMarketPreviousClose,158.92999267578125
shares,15821899776
tenDayAverageVolume,76977250
threeMonthAverageVolume,70849533
timezone,America/New_York
twoHundredDayAverage,147.8825996017456
yearChange,-0.09037321677313992
yearHigh,179.61000061035156
yearLow,124.16999816894531
