Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-07 09:00:00-05:00,,,
2023-10-26 08:00:00-04:00,,,
2023-07-27 08:00:00-04:00,,,
2023-04-27 08:00:00-04:00,2.55,,
2023-02-09 02:00:00-05:00,3.56,3.6,0.0115
2022-10-28 03:00:00-04:00,3.57,3.66,0.024300000000000002
2022-07-29 03:00:00-04:00,3.31,3.37,0.0169
2022-04-29 03:00:00-04:00,3.14,3.16,0.005699999999999999
2022-02-02 02:00:00-05:00,3.29,3.31,0.0073
2021-10-29 03:00:00-04:00,3.22,3.33,0.0332
2021-07-30 03:00:00-04:00,3.09,3.11,0.006500000000000001
2021-04-30 03:00:00-04:00,2.83,2.95,0.042800000000000005
