Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-03-23 02:00:00-04:00,2.5,2.69,0.07690000000000001
2022-12-16 01:00:00-05:00,2.91,3.08,0.057699999999999994
2022-09-22 02:00:00-04:00,2.57,2.6,0.0113
2022-06-23 03:00:00-04:00,2.85,2.79,-0.0207
2022-03-17 02:00:00-04:00,2.37,2.54,0.0713
2021-12-16 01:00:00-05:00,2.63,2.78,0.057800000000000004
2021-09-23 02:00:00-04:00,2.19,2.2,0.0046
2021-06-24 02:00:00-04:00,2.23,2.4,0.0748
2021-03-18 02:00:00-04:00,1.9,2.03,0.0695
2020-12-17 01:00:00-05:00,2.05,2.17,0.0565
2020-09-24 02:00:00-04:00,1.73,1.99,0.14830000000000002
2020-06-25 02:00:00-04:00,1.85,1.9,0.029300000000000003
