Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-13 07:00:00-05:00,,,
2023-11-20 07:00:00-05:00,,,
2023-08-15 07:00:00-04:00,,,
2023-05-16 07:00:00-04:00,2.75,,
2023-02-15 02:00:00-05:00,2.6,2.75,0.056900000000000006
2022-11-22 02:00:00-05:00,2.58,2.73,0.057300000000000004
2022-08-17 02:00:00-04:00,2.43,2.52,0.0362
2022-05-18 03:00:00-04:00,2.11,2.4,0.1396
2022-02-16 02:00:00-05:00,1.78,1.94,0.0917
2021-11-23 02:00:00-05:00,1.7,1.73,0.0176
2021-08-18 03:00:00-04:00,1.63,1.72,0.0565
2021-05-19 03:00:00-04:00,1.45,1.54,0.060599999999999994
