Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-24 08:00:00-05:00,,,
2023-10-23 08:00:00-04:00,,,
2023-07-24 08:00:00-04:00,,,
2023-04-24 08:00:00-04:00,1.76,,
2023-01-26 02:00:00-05:00,1.65,1.93,0.1697
2022-10-25 03:00:00-04:00,1.44,1.86,0.2917
2022-07-26 03:00:00-04:00,1.72,2.15,0.2536
2022-04-26 03:00:00-04:00,1.41,1.9,0.3514
2022-01-25 02:00:00-05:00,1.37,1.5,0.0965
2021-10-26 03:00:00-04:00,0.89,0.97,0.0936
2021-07-27 03:00:00-04:00,1.03,1.33,0.2938
2021-04-27 03:00:00-04:00,1.05,1.39,0.3301
