Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-26 08:00:00-05:00,,,
2023-11-02 08:00:00-04:00,,,
2023-08-02 16:00:00-04:00,,,
2023-05-03 06:00:00-04:00,0.3,,
2023-02-27 01:00:00-05:00,0.46,0.49,0.055999999999999994
2022-11-04 02:00:00-04:00,0.53,0.63,0.182
2022-08-04 13:00:00-04:00,0.31,0.34,0.0828
2022-05-05 13:00:00-04:00,0.28,0.21,-0.2391
2022-01-06 14:00:00-05:00,0.43,0.45,0.0369
2021-11-03 14:00:00-04:00,0.43,0.5,0.1521
2021-08-04 12:00:00-04:00,0.29,0.31,0.0727
2021-05-06 02:00:00-04:00,0.3,0.28,-0.0635
