Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-12 16:00:00-05:00,,,
2024-02-12 05:00:00-05:00,,,
2023-11-06 05:00:00-05:00,,,
2023-08-07 06:00:00-04:00,,,
2023-05-01 16:00:00-04:00,1.32,,
2023-02-14 11:00:00-05:00,1.27,1.37,0.0762
2022-11-08 11:00:00-05:00,1.22,1.26,0.030299999999999997
2022-08-09 12:00:00-04:00,1.31,1.35,0.0337
2022-05-03 12:00:00-04:00,1.42,1.39,-0.0211
2022-02-15 11:00:00-05:00,1.42,1.49,0.05
2021-11-02 12:00:00-04:00,1.39,1.45,0.046200000000000005
2021-08-03 12:00:00-04:00,1.39,1.42,0.0253
