Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-13 16:00:00-05:00,,,
2024-02-13 05:00:00-05:00,,,
2023-10-31 06:00:00-04:00,,,
2023-08-01 06:00:00-04:00,,,
2023-05-02 06:00:00-04:00,7.24,,
2023-02-16 09:00:00-05:00,8.28,8.62,0.041100000000000005
2023-02-15 11:00:00-05:00,8.28,8.62,0.041100000000000005
2022-11-02 12:00:00-04:00,6.99,7.5,0.0733
2022-08-03 12:00:00-04:00,3.26,3.45,0.058600000000000006
2022-05-04 12:00:00-04:00,1.63,2.38,0.4565
2022-02-16 11:00:00-05:00,0.99,1.01,0.0181
2021-11-03 12:00:00-04:00,0.77,1.05,0.369
