Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-30 16:00:00-05:00,,,
2024-01-30 05:00:00-05:00,,,
2023-10-25 16:00:00-04:00,,,
2023-07-26 16:00:00-04:00,,,
2023-04-26 16:00:00-04:00,1.67,,
2023-02-01 11:00:00-05:00,1.56,1.73,0.109
2022-10-26 12:00:00-04:00,2.18,1.36,-0.3764
2022-07-27 12:00:00-04:00,2.23,2.0,-0.10189999999999999
2022-04-27 12:00:00-04:00,2.22,2.13,-0.0418
2022-02-02 11:00:00-05:00,2.71,2.83,0.0431
2021-10-27 12:00:00-04:00,2.6,2.87,0.10470000000000002
2021-07-28 12:00:00-04:00,2.53,3.04,0.2006
