Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-21 07:00:00-05:00,,,
2023-10-25 07:00:00-04:00,,,
2023-07-26 07:00:00-04:00,,,
2023-04-25 07:00:00-04:00,1.07,,
2023-02-23 02:00:00-05:00,1.04,-1.47,-2.4121
2022-10-27 03:00:00-04:00,1.13,1.8,0.5943
2022-07-28 03:00:00-04:00,0.96,1.95,1.0334
2022-04-27 03:00:00-04:00,1.12,1.56,0.39409999999999995
2022-02-24 02:00:00-05:00,1.15,0.99,-0.1354
2021-10-28 03:00:00-04:00,1.2,1.58,0.3178
2021-07-29 03:00:00-04:00,1.29,1.65,0.28300000000000003
2021-04-29 03:00:00-04:00,1.27,1.45,0.1444
