Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-01 06:00:00-05:00,,,
2023-10-26 06:00:00-04:00,,,
2023-07-27 06:00:00-04:00,,,
2023-04-27 06:00:00-04:00,5.28,,
2023-02-03 01:00:00-05:00,3.66,3.89,0.0643
2022-10-28 02:00:00-04:00,2.0,2.02,0.0125
2022-07-29 02:00:00-04:00,2.56,2.63,0.028999999999999998
2022-04-29 02:00:00-04:00,4.81,4.83,0.0037
2022-02-04 01:00:00-05:00,3.35,3.71,0.10779999999999999
2021-10-29 02:00:00-04:00,1.7,1.74,0.0211
2021-07-30 02:00:00-04:00,1.86,2.29,0.2338
2021-04-30 02:00:00-04:00,4.05,4.28,0.057300000000000004
