Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 08:00:00-05:00,,,
2023-11-01 08:00:00-04:00,,,
2023-08-02 08:00:00-04:00,,,
2023-05-03 08:00:00-04:00,2.63,,
2023-02-02 01:00:00-05:00,2.7,2.64,-0.023700000000000002
2022-11-03 02:00:00-04:00,2.76,2.89,0.0467
2022-08-04 02:00:00-04:00,2.61,2.62,0.005
2022-05-05 02:00:00-04:00,2.35,2.38,0.0123
2022-02-04 01:00:00-05:00,2.51,2.52,0.0048
2021-11-04 02:00:00-04:00,2.49,2.51,0.0068000000000000005
2021-08-09 02:00:00-04:00,2.37,2.31,-0.0245
2021-05-10 02:00:00-04:00,2.12,2.08,-0.017
