Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-29 16:00:00-05:00,,,
2024-01-29 05:00:00-05:00,,,
2023-10-23 06:00:00-04:00,,,
2023-07-24 06:00:00-04:00,,,
2023-04-25 15:00:00-04:00,0.78,,
2023-04-24 16:00:00-04:00,0.78,,
2023-01-31 15:00:00-05:00,0.69,0.31,-0.5507
2023-01-30 11:00:00-05:00,0.69,0.31,-0.5507
2022-10-24 12:00:00-04:00,0.68,2.11,2.1167
2022-07-25 12:00:00-04:00,0.66,1.67,1.5303
2022-04-25 12:00:00-04:00,0.75,-0.96,-2.2749
2022-01-31 11:00:00-05:00,0.65,0.47,-0.27690000000000003
