Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-05 16:00:00-05:00,,,
2024-02-05 05:00:00-05:00,,,
2023-11-07 05:00:00-05:00,,,
2023-08-01 06:00:00-04:00,,,
2023-05-02 06:00:00-04:00,2.47,,
2023-02-08 09:00:00-05:00,1.93,1.91,-0.010400000000000001
2023-02-07 11:00:00-05:00,1.93,1.91,-0.0083
2022-11-09 11:00:00-05:00,0.43,0.51,0.18059999999999998
2022-08-03 12:00:00-04:00,0.85,0.92,0.0888
2022-05-04 12:00:00-04:00,2.35,2.37,0.0077
2022-02-08 11:00:00-05:00,1.85,1.86,0.0054
2021-11-10 11:00:00-05:00,0.34,0.37,0.0787
