Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 06:00:00-05:00,,,
2023-10-24 06:00:00-04:00,,,
2023-07-25 06:00:00-04:00,,,
2023-04-24 06:00:00-04:00,1.67,,
2023-02-02 01:00:00-05:00,2.02,1.65,-0.18480000000000002
2022-10-26 02:00:00-04:00,2.46,2.46,-0.0012
2022-07-27 02:00:00-04:00,2.37,2.64,0.11630000000000001
2022-04-26 02:00:00-04:00,2.17,2.4,0.106
2022-02-02 01:00:00-05:00,2.12,2.13,0.0028000000000000004
2021-10-27 02:00:00-04:00,2.04,2.14,0.048
2021-07-28 02:00:00-04:00,2.06,2.25,0.09380000000000001
2021-04-28 02:00:00-04:00,2.03,2.4,0.18280000000000002
