Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-26 08:00:00-05:00,,,
2023-12-04 08:00:00-05:00,,,
2023-09-18 08:00:00-04:00,,,
2023-05-22 08:00:00-04:00,22.68,,
2023-02-28 01:00:00-05:00,21.91,24.64,0.12480000000000001
2022-12-06 01:00:00-05:00,25.27,27.45,0.0862
2022-09-19 02:00:00-04:00,38.41,40.51,0.0547
2022-05-24 09:00:00-04:00,26.06,29.03,0.1142
2022-03-01 01:00:00-05:00,17.79,22.3,0.25370000000000004
2021-12-07 01:00:00-05:00,20.87,25.69,0.231
2021-09-21 02:00:00-04:00,29.92,35.72,0.19390000000000002
2021-05-25 03:00:00-04:00,20.14,26.48,0.3146
