Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-11 08:00:00-05:00,,,
2023-10-16 08:00:00-04:00,,,
2023-07-13 08:00:00-04:00,,,
2023-04-18 10:00:00-04:00,1.12,,
2023-04-18 08:00:00-04:00,1.12,,
2023-01-13 01:00:00-05:00,0.87,0.62,-0.2857
2022-10-17 02:00:00-04:00,1.1,0.39,-0.6448
2022-07-15 02:00:00-04:00,1.12,1.03,-0.0771
2022-04-18 02:00:00-04:00,0.85,0.86,0.0094
2022-01-18 01:00:00-05:00,1.01,1.04,0.028700000000000003
2021-10-19 02:00:00-04:00,1.01,1.04,0.0338
2021-07-15 02:00:00-04:00,1.0,1.13,0.1311
