Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 08:00:00-05:00,,,
2023-10-31 08:00:00-04:00,,,
2023-08-10 08:00:00-04:00,,,
2023-05-01 08:00:00-04:00,2.05,,
2023-02-02 02:00:00-05:00,0.9,0.91,0.0089
2022-11-02 04:00:00-04:00,0.88,0.84,-0.041100000000000005
2022-08-12 03:00:00-04:00,2.62,2.65,0.0099
2022-05-03 03:00:00-04:00,1.78,1.93,0.0824
2022-02-01 02:00:00-05:00,0.82,0.82,-0.0049
2021-11-03 03:00:00-04:00,0.99,1.07,0.0852
2021-08-12 03:00:00-04:00,2.19,2.19,
2021-05-04 03:00:00-04:00,1.68,1.76,0.04820000000000001
