Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-29 08:00:00-05:00,,,
2023-10-25 06:00:00-04:00,,,
2023-07-31 06:00:00-04:00,,,
2023-04-26 06:00:00-04:00,3.76,,
2023-01-31 01:00:00-05:00,4.02,4.27,0.0611
2022-10-27 02:00:00-04:00,3.16,3.95,0.2504
2022-08-02 02:00:00-04:00,3.01,3.18,0.0565
2022-04-28 02:00:00-04:00,2.6,2.88,0.1077
2022-01-28 01:00:00-05:00,2.26,2.69,0.1908
2021-10-28 02:00:00-04:00,2.2,2.66,0.20690000000000003
2021-07-30 02:00:00-04:00,2.4,2.6,0.08380000000000001
2021-04-29 02:00:00-04:00,1.94,2.87,0.48240000000000005
