Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-12-19 09:00:00-05:00,,,
2023-09-28 08:00:00-04:00,,,
2023-06-22 08:00:00-04:00,,,
2023-03-27 10:00:00-04:00,-0.6,,
2023-03-27 08:00:00-04:00,-0.6,,
2022-12-21 04:00:00-05:00,-0.87,-0.85,0.0196
2022-09-30 05:00:00-04:00,-0.15,-0.58,-2.9456
2022-06-24 05:00:00-04:00,-1.17,-1.64,-0.40049999999999997
2022-03-22 05:00:00-04:00,-1.26,-1.66,-0.32060000000000005
2021-12-20 04:00:00-05:00,-1.43,-1.72,-0.2028
2021-09-24 05:00:00-04:00,-1.48,-1.75,-0.18480000000000002
2021-06-24 05:00:00-04:00,-1.6,-1.8,-0.1229
