Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-21 16:00:00-05:00,,,
2024-02-21 05:00:00-05:00,,,
2023-11-01 06:00:00-04:00,,,
2023-07-26 06:00:00-04:00,,,
2023-04-26 06:00:00-04:00,1.63,,
2023-02-24 10:00:00-05:00,1.66,1.44,-0.1325
2023-02-23 11:00:00-05:00,1.66,1.44,-0.1304
2022-11-03 12:00:00-04:00,3.98,3.94,-0.0091
2022-07-28 12:00:00-04:00,4.56,4.99,0.0943
2022-04-28 19:00:00-04:00,4.52,5.54,0.22649999999999998
2022-01-27 11:00:00-05:00,5.07,4.91,-0.0316
2022-01-05 14:00:00-05:00,5.05,,
