Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-30 16:00:00-05:00,,,
2024-01-30 05:00:00-05:00,,,
2023-10-31 08:00:00-04:00,,,
2023-07-25 06:00:00-04:00,,,
2023-04-25 06:00:00-04:00,1.04,,
2023-02-01 11:00:00-05:00,1.38,1.03,-0.2515
2022-11-02 03:00:00-04:00,2.17,1.78,-0.18050000000000002
2022-07-27 12:00:00-04:00,1.98,2.67,0.3464
2022-04-27 12:00:00-04:00,1.54,2.05,0.32770000000000005
2022-02-02 02:00:00-05:00,1.85,1.74,-0.061500000000000006
2021-10-26 12:00:00-04:00,1.42,1.85,0.3019
2021-07-27 12:00:00-04:00,1.33,1.44,0.0803
