Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-06 09:00:00-05:00,,,
2023-10-24 09:00:00-04:00,,,
2023-07-25 09:00:00-04:00,,,
2023-04-26 08:00:00-04:00,2.15,,
2023-04-26 08:00:00-04:00,2.15,,
2023-02-08 02:00:00-05:00,1.88,1.92,0.0207
2022-10-26 03:00:00-04:00,1.94,1.98,0.0222
2022-07-27 03:00:00-04:00,1.94,1.97,0.0181
2022-04-27 03:00:00-04:00,2.0,2.11,0.0545
2022-02-09 02:00:00-05:00,1.64,1.66,0.0122
2021-10-27 03:00:00-04:00,1.56,1.6,0.0256
2021-07-28 03:00:00-04:00,1.61,1.64,0.0212
