Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-05 08:00:00-05:00,,,
2023-11-01 08:00:00-04:00,,,
2023-07-31 08:00:00-04:00,,,
2023-05-01 08:00:00-04:00,4.67,,
2023-02-06 02:00:00-05:00,4.5,4.43,-0.015300000000000001
2022-11-03 03:00:00-04:00,4.85,2.82,-0.4189
2022-08-02 03:00:00-04:00,4.35,4.94,0.1356
2022-05-03 03:00:00-04:00,3.56,2.92,-0.1789
2022-02-03 02:00:00-05:00,3.15,2.73,-0.1333
2021-11-02 03:00:00-04:00,3.91,3.69,-0.057
2021-08-03 03:00:00-04:00,4.05,4.1,0.0126
2021-05-04 03:00:00-04:00,3.47,4.07,0.1729
