Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 16:00:00-05:00,,,
2024-01-31 05:00:00-05:00,,,
2023-10-25 06:00:00-04:00,,,
2023-07-26 06:00:00-04:00,,,
2023-04-26 06:00:00-04:00,0.32,,
2023-02-03 11:00:00-05:00,0.33,0.42,0.2727
2023-02-02 11:00:00-05:00,0.33,0.42,0.2727
2022-10-27 12:00:00-04:00,0.35,0.27,-0.2286
2022-07-28 12:00:00-04:00,0.55,4.54,7.2545
2022-04-28 12:00:00-04:00,0.43,0.76,0.7881999999999999
2022-02-03 11:00:00-05:00,0.46,0.37,-0.20260000000000003
2021-10-28 12:00:00-04:00,0.39,0.29,-0.2468
