Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-23 16:00:00-05:00,,,
2024-01-23 05:00:00-05:00,,,
2023-10-18 06:00:00-04:00,,,
2023-07-18 06:00:00-04:00,,,
2023-04-20 16:00:00-04:00,0.42,,
2023-04-20 16:00:00-04:00,0.42,,
2023-01-25 11:00:00-05:00,0.47,0.47,0.0108
2022-10-20 12:00:00-04:00,0.49,0.51,0.0345
2022-07-20 12:00:00-04:00,0.47,0.5,0.0638
2022-04-20 12:00:00-04:00,0.37,0.39,0.045599999999999995
2022-01-20 11:00:00-05:00,0.41,0.42,0.014499999999999999
2021-10-20 12:00:00-04:00,0.38,0.43,0.1406
