Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-11 08:00:00-05:00,,,
2023-10-11 08:00:00-04:00,,,
2023-07-11 08:00:00-04:00,,,
2023-04-11 08:00:00-04:00,0.33,,
2023-01-13 01:00:00-05:00,1.33,1.48,0.11449999999999999
2022-10-13 02:00:00-04:00,1.53,1.51,-0.0144
2022-07-13 02:00:00-04:00,1.73,1.44,-0.16570000000000001
2022-04-13 02:00:00-04:00,-1.27,-1.23,0.030699999999999998
2022-01-13 01:00:00-05:00,0.14,0.22,0.5942000000000001
2021-10-13 03:00:00-04:00,0.17,0.3,0.7964
2021-07-14 03:00:00-04:00,-1.38,-1.07,0.2274
2021-04-15 04:00:00-04:00,-3.17,-3.55,-0.1185
