Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 08:00:00-05:00,,,
2023-10-18 08:00:00-04:00,,,
2023-07-19 08:00:00-04:00,,,
2023-04-19 08:00:00-04:00,1.99,,
2023-02-02 01:00:00-05:00,1.91,1.98,0.037700000000000004
2022-10-20 02:00:00-04:00,2.19,2.36,0.0762
2022-07-21 02:00:00-04:00,2.29,2.36,0.029700000000000004
2022-04-21 02:00:00-04:00,2.98,3.22,0.0824
2022-02-03 01:00:00-05:00,3.18,3.33,0.045899999999999996
2021-10-21 02:00:00-04:00,2.88,3.96,0.3774
2021-07-22 02:00:00-04:00,2.87,3.18,0.1076
2021-04-22 02:00:00-04:00,3.71,3.76,0.013200000000000002
