Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-21 08:00:00-05:00,,,
2023-10-25 08:00:00-04:00,,,
2023-07-26 08:00:00-04:00,,,
2023-04-26 06:00:00-04:00,1.89,,
2023-02-23 01:00:00-05:00,1.24,1.31,0.0582
2022-10-27 03:00:00-04:00,1.58,1.6,0.0146
2022-07-28 03:00:00-04:00,1.02,0.88,-0.1406
2022-04-28 03:00:00-04:00,2.05,2.31,0.12630000000000002
2022-02-10 02:00:00-05:00,0.84,1.05,0.247
2021-10-27 03:00:00-04:00,1.82,1.72,-0.057
2021-07-27 03:00:00-04:00,1.3,1.7,0.30469999999999997
2021-04-27 03:00:00-04:00,2.17,2.44,0.1218
