Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-30 16:00:00-05:00,,,
2024-01-30 05:00:00-05:00,,,
2023-11-01 06:00:00-04:00,,,
2023-08-01 06:00:00-04:00,,,
2023-05-23 06:00:00-04:00,1.03,,
2023-02-01 11:00:00-05:00,0.83,0.95,0.1405
2022-11-03 12:00:00-04:00,0.73,0.75,0.0246
2022-08-03 12:00:00-04:00,0.82,0.75,-0.08539999999999999
2022-05-25 12:00:00-04:00,0.99,0.84,-0.1532
2022-02-02 11:00:00-05:00,0.91,0.92,0.006600000000000001
2021-11-03 12:00:00-04:00,0.83,0.89,0.07490000000000001
2021-08-04 12:00:00-04:00,0.74,0.84,0.13210000000000002
