Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-23 06:00:00-05:00,,,
2023-10-17 06:00:00-04:00,,,
2023-07-18 06:00:00-04:00,,,
2023-04-18 06:00:00-04:00,9.3,,
2023-01-25 01:00:00-05:00,5.19,5.23,0.0079
2022-10-19 02:00:00-04:00,7.15,7.53,0.0534
2022-07-20 02:00:00-04:00,7.74,8.04,0.0388
2022-04-20 02:00:00-04:00,7.81,8.25,0.0559
2022-01-26 01:00:00-05:00,5.11,5.14,0.0053
2021-10-20 02:00:00-04:00,6.37,6.79,0.0658
2021-07-21 02:00:00-04:00,6.33,7.03,0.11019999999999999
2021-04-21 02:00:00-04:00,6.51,7.01,0.0763
