Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-12 08:00:00-05:00,,,
2023-11-01 08:00:00-04:00,,,
2023-08-02 08:00:00-04:00,,,
2023-05-01 08:00:00-04:00,1.2,,
2023-02-13 01:00:00-05:00,1.7,1.71,0.0077
2022-11-03 03:00:00-04:00,1.75,1.74,-0.0063
2022-08-03 16:00:00-04:00,1.71,1.73,0.009300000000000001
2022-05-03 03:00:00-04:00,1.45,1.47,0.011000000000000001
2022-02-15 02:00:00-05:00,1.9,1.92,0.012700000000000001
2021-11-04 03:00:00-04:00,1.68,1.73,0.0291
2021-08-03 03:00:00-04:00,1.55,1.61,0.0367
2021-05-06 03:00:00-04:00,1.25,1.3,0.0442
