Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-23 08:00:00-05:00,,,
2023-10-24 08:00:00-04:00,,,
2023-07-25 08:00:00-04:00,,,
2023-04-25 08:00:00-04:00,2.68,,
2023-01-25 02:00:00-05:00,3.54,3.58,0.0102
2022-10-26 03:00:00-04:00,3.15,3.26,0.0339
2022-07-27 03:00:00-04:00,2.72,2.75,0.0095
2022-04-27 03:00:00-04:00,2.51,2.61,0.0415
2022-01-26 02:00:00-05:00,3.37,3.39,0.005
2021-10-27 03:00:00-04:00,2.98,3.07,0.0305
2021-07-28 03:00:00-04:00,2.55,2.61,0.025099999999999997
2021-04-28 03:00:00-04:00,2.3,2.48,0.07780000000000001
