Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 16:00:00-05:00,,,
2024-01-31 05:00:00-05:00,,,
2023-11-06 05:00:00-05:00,,,
2023-08-02 06:00:00-04:00,,,
2023-05-03 06:00:00-04:00,0.44,,
2023-02-02 11:00:00-05:00,0.43,0.45,0.053899999999999997
2022-11-08 11:00:00-05:00,0.45,0.45,0.011200000000000002
2022-08-04 12:00:00-04:00,0.43,0.45,0.053899999999999997
2022-05-05 12:00:00-04:00,0.45,0.46,0.0268
2022-02-03 11:00:00-05:00,0.43,0.44,0.016200000000000003
2021-11-04 12:00:00-04:00,0.42,0.43,0.019
2021-07-27 12:00:00-04:00,0.41,0.42,0.0219
