Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-29 08:00:00-05:00,,,
2023-10-23 08:00:00-04:00,,,
2023-07-24 08:00:00-04:00,,,
2023-04-24 08:00:00-04:00,0.39,,
2023-01-31 02:00:00-05:00,0.44,0.47,0.0633
2022-10-25 03:00:00-04:00,0.51,0.51,-0.002
2022-07-26 03:00:00-04:00,0.56,0.57,0.0088
2022-04-26 03:00:00-04:00,0.5,0.54,0.08869999999999999
2022-01-26 02:00:00-05:00,0.52,0.54,0.0405
2021-10-26 03:00:00-04:00,0.58,0.56,-0.029500000000000002
2021-07-27 03:00:00-04:00,0.51,0.53,0.033100000000000004
2021-04-27 03:00:00-04:00,0.43,0.45,0.0514
