Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-07-30 08:00:00-04:00,,,
2024-04-30 08:00:00-04:00,,,
2024-02-12 08:00:00-05:00,,,
2023-10-17 08:00:00-04:00,,,
2023-08-01 08:00:00-04:00,,,
2023-05-02 08:00:00-04:00,0.51,,
2023-02-15 01:00:00-05:00,1.76,1.78,0.0096
2022-11-02 02:00:00-04:00,1.83,1.75,-0.0442
2022-08-03 02:00:00-04:00,2.64,2.99,0.13390000000000002
2022-05-04 02:00:00-04:00,1.94,2.09,0.0779
2022-02-16 01:00:00-05:00,2.4,2.51,0.047599999999999996
2021-11-02 02:00:00-04:00,2.32,2.35,0.0147
