Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-08 08:00:00-05:00,,,
2023-10-30 08:00:00-04:00,,,
2023-07-31 08:00:00-04:00,,,
2023-05-01 08:00:00-04:00,2.3,,
2023-02-10 01:00:00-05:00,2.42,2.42,0.0021
2022-10-31 02:00:00-04:00,2.48,2.48,0.0004
2022-08-01 02:00:00-04:00,2.34,2.36,0.0068000000000000005
2022-05-02 02:00:00-04:00,2.04,2.07,0.012700000000000001
2022-02-10 01:00:00-05:00,2.12,2.13,0.0028000000000000004
2021-11-02 02:00:00-04:00,2.15,2.18,0.0163
2021-08-02 02:00:00-04:00,1.9,2.04,0.0737
2021-05-04 02:00:00-04:00,1.78,1.82,0.0242
