Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-15 07:00:00-05:00,,,
2023-10-16 08:00:00-04:00,,,
2023-07-17 08:00:00-04:00,,,
2023-04-18 09:00:00-04:00,8.73,,
2023-04-18 07:00:00-04:00,8.73,,
2023-01-17 02:00:00-05:00,5.48,3.32,-0.3943
2022-10-18 03:00:00-04:00,7.69,8.25,0.0728
2022-07-18 03:00:00-04:00,6.58,7.73,0.1753
2022-04-14 03:00:00-04:00,8.89,10.76,0.21050000000000002
2022-01-18 02:00:00-05:00,11.76,10.81,-0.08070000000000001
2021-10-15 04:00:00-04:00,10.18,14.93,0.4672
2021-07-13 03:00:00-04:00,10.24,15.02,0.4668
