Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 08:00:00-05:00,,,
2023-10-25 08:00:00-04:00,,,
2023-07-26 08:00:00-04:00,,,
2023-04-27 08:00:00-04:00,1.92,,
2023-02-02 01:00:00-05:00,2.51,2.52,0.0048
2022-10-27 02:00:00-04:00,2.16,2.25,0.04360000000000001
2022-07-28 02:00:00-04:00,2.03,2.1,0.035
2022-04-29 01:00:00-04:00,1.86,1.91,0.0263
2022-02-03 01:00:00-05:00,2.08,2.09,0.0072
2021-10-22 02:00:00-04:00,1.99,2.02,0.013000000000000001
2021-07-23 02:00:00-04:00,1.94,2.02,0.0434
2021-04-23 02:00:00-04:00,1.8,1.92,0.0684
