Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-26 16:00:00-05:00,,,
2024-02-26 05:00:00-05:00,,,
2023-11-20 05:00:00-05:00,,,
2023-08-28 06:00:00-04:00,,,
2023-05-29 06:00:00-04:00,0.76,,
2023-02-28 11:00:00-05:00,0.75,0.75,-0.004
2022-11-22 11:00:00-05:00,0.84,0.85,0.015500000000000002
2022-08-30 12:00:00-04:00,1.04,1.04,0.001
2022-05-31 12:00:00-04:00,1.05,1.08,0.026600000000000002
2022-02-28 11:00:00-05:00,1.02,1.1,0.0753
2021-11-23 11:00:00-05:00,0.88,0.94,0.0646
2021-08-26 12:00:00-04:00,0.84,1.0,0.1962
