Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-02-09 01:00:00-05:00,0.16,-0.09,-1.5488
2022-10-27 03:00:00-04:00,0.16,0.08,-0.5122
2022-07-28 02:00:00-04:00,0.15,-0.21,-2.4094
2022-04-28 02:00:00-04:00,0.15,0.37,1.5
2022-02-10 01:00:00-05:00,0.16,0.13,-0.172
2021-11-05 04:00:00-04:00,0.1,0.91,7.9216
2021-07-29 02:00:00-04:00,0.12,0.25,1.1368
2021-04-29 02:00:00-04:00,0.1,0.3,2.0928
2021-02-11 02:00:00-05:00,0.1,0.45,3.5918
2020-11-05 02:00:00-05:00,0.06,-0.1,-2.7857
2020-08-07 03:00:00-04:00,0.07,1.71,22.75
2020-05-08 03:00:00-04:00,0.18,0.19,0.0795
