Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-24 19:00:00-05:00,,,
2024-01-24 05:00:00-05:00,,,
2023-10-24 06:00:00-04:00,,,
2023-07-26 06:00:00-04:00,,,
2023-04-26 06:00:00-04:00,5.32,,
2023-01-26 11:00:00-05:00,7.1,7.38,0.04
2022-10-26 12:00:00-04:00,6.21,7.06,0.1371
2022-07-28 12:00:00-04:00,5.5,5.81,0.0556
2022-04-28 12:00:00-04:00,4.82,5.13,0.0634
2022-01-27 11:00:00-05:00,5.45,5.59,0.0259
2021-10-27 12:00:00-04:00,4.52,4.64,0.027200000000000002
2021-07-29 12:00:00-04:00,3.99,4.43,0.1106
