Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-24 16:00:00-05:00,,,
2023-10-25 16:00:00-04:00,,,
2023-07-26 06:00:00-04:00,,,
2023-04-26 06:00:00-04:00,2.89,,
2023-01-27 08:00:00-05:00,3.26,3.27,0.0031
2023-01-26 11:00:00-05:00,3.26,3.27,0.0031
2022-10-27 12:00:00-04:00,3.39,3.26,-0.0383
2022-07-28 12:00:00-04:00,3.18,3.23,0.0173
2022-04-28 12:00:00-04:00,3.05,3.12,0.0236
2022-01-31 01:00:00-05:00,3.26,3.3,0.011000000000000001
2021-10-29 02:00:00-04:00,3.18,3.21,0.0085
2021-08-03 02:00:00-04:00,3.18,3.26,0.0268
