Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-22 08:00:00-05:00,,,
2023-10-16 08:00:00-04:00,,,
2023-07-17 08:00:00-04:00,,,
2023-04-17 08:00:00-04:00,6.12,,
2023-01-24 02:00:00-05:00,7.39,7.4,0.0016
2022-10-18 03:00:00-04:00,6.66,6.71,0.0074
2022-07-19 03:00:00-04:00,1.74,1.16,-0.33140000000000003
2022-04-19 03:00:00-04:00,6.21,6.44,0.0375
2022-01-25 02:00:00-05:00,7.16,7.47,0.04360000000000001
2021-10-26 03:00:00-04:00,1.97,2.21,0.11960000000000001
2021-07-26 03:00:00-04:00,6.53,6.52,-0.0021
2021-04-20 03:00:00-04:00,6.31,6.56,0.0404
