Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-28 06:00:00-05:00,,,
2023-11-21 09:00:00-05:00,,,
2023-11-21 06:00:00-05:00,,,
2023-08-22 09:00:00-04:00,,,
2023-08-22 06:00:00-04:00,,,
2023-05-23 09:00:00-04:00,3.49,,
2023-05-23 06:00:00-04:00,3.49,,
2023-03-01 01:00:00-05:00,2.21,2.28,0.032100000000000004
2022-11-16 01:00:00-05:00,3.1,3.27,0.0538
2022-08-17 02:00:00-04:00,4.59,4.67,0.018500000000000003
2022-05-18 02:00:00-04:00,3.22,3.51,0.08869999999999999
2022-02-23 01:00:00-05:00,1.71,1.78,0.0422
