Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-23 16:00:00-05:00,,,
2024-01-23 05:00:00-05:00,,,
2023-10-17 06:00:00-04:00,,,
2023-07-18 06:00:00-04:00,,,
2023-04-25 06:00:00-04:00,0.16,,
2023-01-25 11:00:00-05:00,-0.09,-0.19,-1.1591
2022-10-19 12:00:00-04:00,-0.24,-0.27,-0.12029999999999999
2022-07-20 12:00:00-04:00,-0.29,-0.34,-0.1847
2022-04-27 12:00:00-04:00,-0.23,-0.4,-0.7094
2022-01-26 11:00:00-05:00,-0.24,-0.22,0.102
2021-10-20 12:00:00-04:00,-0.2,-0.45,-1.2843
2021-07-21 12:00:00-04:00,-0.17,-0.26,-0.5476
