Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-31 16:00:00-05:00,,,
2024-01-31 05:00:00-05:00,,,
2023-11-01 06:00:00-04:00,,,
2023-07-31 06:00:00-04:00,,,
2023-05-08 16:00:00-04:00,1.62,,
2023-02-02 11:00:00-05:00,1.55,1.56,0.0070999999999999995
2022-11-03 12:00:00-04:00,1.44,1.46,0.0125
2022-08-02 12:00:00-04:00,1.34,1.37,0.0193
2022-05-09 12:00:00-04:00,1.25,1.35,0.0766
2022-02-03 11:00:00-05:00,1.17,1.2,0.023
2021-11-04 13:00:00-04:00,1.06,1.07,0.0094
2021-08-03 12:00:00-04:00,0.95,0.99,0.0388
