Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-26 07:00:00-05:00,,,
2023-11-06 07:00:00-05:00,,,
2023-08-07 07:00:00-04:00,,,
2023-05-08 07:00:00-04:00,-0.4,,
2023-02-28 02:00:00-05:00,-0.85,-1.04,-0.2164
2022-11-08 02:00:00-05:00,-0.7,-0.64,0.08960000000000001
2022-08-09 03:00:00-04:00,-0.86,-1.14,-0.3271
2022-05-10 03:00:00-04:00,-1.53,-1.82,-0.1895
2022-02-24 02:00:00-05:00,-1.6,-1.95,-0.2172
2021-11-03 03:00:00-04:00,-2.09,-2.17,-0.0403
2021-08-06 03:00:00-04:00,-1.97,-1.93,0.0203
2021-05-06 03:00:00-04:00,-2.05,-2.03,0.011200000000000002
