Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-23 08:00:00-05:00,,,
2023-10-26 08:00:00-04:00,,,
2023-07-20 08:00:00-04:00,,,
2023-04-19 08:00:00-04:00,0.71,,
2023-01-25 02:00:00-05:00,0.49,0.51,0.038700000000000005
2022-10-28 03:00:00-04:00,0.8,0.85,0.0625
2022-07-22 03:00:00-04:00,0.73,0.81,0.1035
2022-04-21 03:00:00-04:00,0.71,0.74,0.0408
2022-01-25 02:00:00-05:00,0.4,0.41,0.0327
2021-10-20 03:00:00-04:00,0.72,0.75,0.049
2021-07-23 03:00:00-04:00,0.7,0.71,0.0201
2021-04-21 03:00:00-04:00,0.59,0.67,0.1318
