Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-29 05:00:00-05:00,,,
2023-10-23 06:00:00-04:00,,,
2023-07-24 06:00:00-04:00,,,
2023-04-24 06:00:00-04:00,88.96,,
2023-01-31 04:00:00-05:00,98.88,133.44,0.34950000000000003
2022-10-25 05:00:00-04:00,121.71,118.51,-0.0263
2022-07-26 05:00:00-04:00,126.77,123.65,-0.0246
2022-04-26 05:00:00-04:00,96.98,116.56,0.20190000000000002
2022-02-01 04:00:00-05:00,99.76,89.09,-0.107
2021-10-21 05:00:00-04:00,92.51,86.44,-0.06559999999999999
2021-07-21 05:00:00-04:00,72.53,82.45,0.1368
2021-04-21 05:00:00-04:00,63.01,63.21,0.0032
