Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-19 16:00:00-05:00,,,
2024-02-19 05:00:00-05:00,,,
2023-10-31 06:00:00-04:00,,,
2023-08-01 06:00:00-04:00,,,
2023-05-02 06:00:00-04:00,0.34,,
2023-02-22 14:00:00-05:00,0.31,0.36,0.1613
2023-02-21 11:00:00-05:00,0.32,0.36,0.1429
2022-11-02 12:00:00-04:00,0.33,0.36,0.1043
2022-08-03 12:00:00-04:00,0.38,0.37,-0.018600000000000002
2022-05-04 12:00:00-04:00,0.42,0.34,-0.1962
2022-02-22 11:00:00-05:00,0.37,0.01,-0.9731000000000001
2021-11-01 12:00:00-04:00,0.39,0.34,-0.13269999999999998
