Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-19 08:00:00-05:00,,,
2023-10-30 08:00:00-04:00,,,
2023-07-31 08:00:00-04:00,,,
2023-05-01 08:00:00-04:00,1.12,,
2023-02-21 02:00:00-05:00,0.63,0.64,0.024
2022-10-31 03:00:00-04:00,0.83,0.86,0.031200000000000002
2022-08-02 03:00:00-04:00,0.64,0.64,-0.0062
2022-05-03 03:00:00-04:00,1.12,1.33,0.1875
2022-02-24 02:00:00-05:00,0.67,0.69,0.0376
2021-11-02 03:00:00-04:00,0.92,0.98,0.0618
2021-08-03 03:00:00-04:00,0.7,0.7,-0.0043
2021-05-05 03:00:00-04:00,1.12,1.28,0.1449
