Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-17 08:00:00-05:00,,,
2023-10-17 08:00:00-04:00,,,
2023-07-28 09:00:00-04:00,,,
2023-07-28 08:00:00-04:00,,,
2023-04-21 08:00:00-04:00,1.32,,
2023-04-20 08:00:00-04:00,1.32,,
2023-01-19 01:00:00-05:00,1.59,1.59,0.0006
2022-10-19 02:00:00-04:00,1.54,1.57,0.0182
2022-07-29 02:00:00-04:00,1.22,1.21,-0.0098
2022-04-20 02:00:00-04:00,1.29,1.33,0.0278
2022-01-19 01:00:00-05:00,1.65,1.66,0.0042
2021-10-19 03:00:00-04:00,1.59,1.61,0.011899999999999999
