Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-23 08:00:00-05:00,,,
2024-01-15 16:00:00-05:00,,,
2023-10-11 08:00:00-04:00,,,
2023-07-31 09:00:00-04:00,,,
2023-05-01 06:00:00-04:00,1.45,,
2023-02-28 09:00:00-05:00,1.43,1.52,0.0629
2023-02-27 08:00:00-05:00,1.43,1.52,0.0629
2023-02-15 08:00:00-05:00,1.43,1.52,0.0629
2023-01-25 03:00:00-05:00,1.43,1.52,0.0652
2022-10-13 05:00:00-04:00,0.89,0.49,-0.44700000000000006
2022-07-15 04:00:00-04:00,0.93,0.96,0.0334
2022-05-02 06:00:00-04:00,1.15,1.12,-0.029500000000000002
