Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-20 17:00:00-05:00,,,
2024-02-20 05:00:00-05:00,,,
2023-10-25 06:00:00-04:00,,,
2023-07-31 06:00:00-04:00,,,
2023-05-02 06:00:00-04:00,5.3,,
2023-02-23 10:00:00-05:00,5.77,5.91,0.024300000000000002
2023-02-22 11:00:00-05:00,5.77,5.91,0.025
2022-10-27 12:00:00-04:00,7.51,7.48,-0.0033000000000000004
2022-08-02 12:00:00-04:00,8.75,9.36,0.07
2022-05-04 12:00:00-04:00,7.0,7.74,0.106
2022-02-16 11:00:00-05:00,4.09,4.58,0.12119999999999999
2021-11-03 12:00:00-04:00,3.89,4.13,0.0631
