Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-06 16:00:00-05:00,,,
2024-02-06 05:00:00-05:00,,,
2023-10-24 06:00:00-04:00,,,
2023-07-25 06:00:00-04:00,,,
2023-04-25 06:00:00-04:00,13.31,,
2023-02-09 08:00:00-05:00,9.87,12.21,0.2371
2023-02-08 11:00:00-05:00,9.87,12.21,0.2373
2022-10-26 12:00:00-04:00,-5.61,-5.28,0.0582
2022-07-27 12:00:00-04:00,8.06,9.79,0.2146
2022-04-27 12:00:00-04:00,9.42,10.31,0.09480000000000001
2022-02-09 11:00:00-05:00,8.92,9.12,0.0222
2021-10-27 12:00:00-04:00,-1.06,-1.34,-0.26530000000000004
