Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-07 08:00:00-05:00,,,
2023-11-08 08:00:00-05:00,,,
2023-08-07 08:00:00-04:00,,,
2023-05-22 08:00:00-04:00,0.59,,
2023-02-09 03:00:00-05:00,2.92,3.35,0.1457
2022-11-10 03:00:00-05:00,2.08,2.23,0.0706
2022-08-09 04:00:00-04:00,1.75,1.88,0.0743
2022-05-24 04:00:00-04:00,0.36,0.49,0.3611
2022-02-03 03:00:00-05:00,2.17,2.94,0.3523
2021-11-02 04:00:00-04:00,2.0,2.62,0.31329999999999997
2021-08-03 04:00:00-04:00,0.88,2.29,1.6022999999999998
2021-05-20 04:00:00-04:00,-0.73,0.38,1.522
