Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-24 09:00:00-05:00,,,
2023-10-31 08:00:00-04:00,,,
2023-07-25 08:00:00-04:00,,,
2023-05-01 08:00:00-04:00,2.57,,
2023-01-26 02:00:00-05:00,1.88,2.46,0.3099
2022-11-02 03:00:00-04:00,2.97,3.04,0.0222
2022-07-27 03:00:00-04:00,2.38,2.66,0.1191
2022-05-03 03:00:00-04:00,2.26,1.66,-0.2645
2022-01-27 02:00:00-05:00,1.91,2.14,0.1204
2021-11-02 03:00:00-04:00,2.17,2.33,0.0727
2021-07-27 03:00:00-04:00,2.09,2.31,0.1037
2021-04-28 03:00:00-04:00,2.16,2.41,0.1178
