Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-12 16:00:00-05:00,,,
2024-02-12 05:00:00-05:00,,,
2023-11-06 05:00:00-05:00,,,
2023-07-31 06:00:00-04:00,,,
2023-05-01 06:00:00-04:00,1.92,,
2023-02-13 11:00:00-05:00,1.56,2.86,0.8357
2022-11-07 11:00:00-05:00,1.44,0.91,-0.3676
2022-08-02 12:00:00-04:00,1.39,0.95,-0.3175
2022-05-02 12:00:00-04:00,1.27,1.2,-0.0529
2022-02-15 11:00:00-05:00,1.32,1.1,-0.1635
2021-11-02 12:00:00-04:00,1.36,1.45,0.06849999999999999
2021-08-02 12:00:00-04:00,1.12,1.28,0.1439
