Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-24 08:00:00-05:00,,,
2023-10-23 08:00:00-04:00,,,
2023-07-25 08:00:00-04:00,,,
2023-04-24 08:00:00-04:00,1.77,,
2023-01-26 02:00:00-05:00,1.87,1.89,0.0129
2022-10-25 03:00:00-04:00,2.56,2.83,0.1042
2022-07-27 03:00:00-04:00,2.77,2.41,-0.1306
2022-04-26 03:00:00-04:00,1.55,1.61,0.0421
2022-01-27 02:00:00-05:00,1.38,1.34,-0.028300000000000002
2021-10-26 03:00:00-04:00,2.1,2.09,-0.005200000000000001
2021-07-27 03:00:00-04:00,2.68,2.65,-0.0116
2021-04-27 03:00:00-04:00,1.65,2.06,0.2523
