Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-23 17:00:00-05:00,,,
2023-10-23 17:00:00-04:00,,,
2023-07-24 06:00:00-04:00,,,
2023-04-24 17:00:00-04:00,0.43,,
2023-01-26 08:00:00-05:00,0.75,0.92,0.2267
2023-01-25 12:00:00-05:00,0.75,0.92,0.2267
2022-10-25 13:00:00-04:00,1.04,1.15,0.1068
2022-07-26 13:00:00-04:00,1.14,1.21,0.059500000000000004
2022-04-26 13:00:00-04:00,0.88,0.98,0.1086
2022-01-26 12:00:00-05:00,1.29,1.37,0.0645
2021-10-26 13:00:00-04:00,1.43,1.59,0.1103
2021-07-27 13:00:00-04:00,1.76,1.91,0.0858
