Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-21 08:00:00-05:00,,,
2023-10-25 08:00:00-04:00,,,
2023-07-26 08:00:00-04:00,,,
2023-04-26 08:00:00-04:00,2.97,,
2023-02-23 01:00:00-05:00,3.44,3.52,0.023
2022-10-27 02:00:00-04:00,3.12,3.27,0.049800000000000004
2022-07-28 02:00:00-04:00,3.35,3.39,0.0128
2022-04-28 03:00:00-04:00,2.75,2.88,0.0484
2022-02-24 01:00:00-05:00,3.53,3.6,0.0193
2021-10-28 03:00:00-04:00,3.03,3.51,0.15960000000000002
2021-07-29 02:00:00-04:00,2.87,3.35,0.1668
2021-04-29 02:00:00-04:00,2.42,2.87,0.185
