Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-20 08:00:00-05:00,,,
2023-11-14 08:00:00-05:00,,,
2023-08-15 08:00:00-04:00,,,
2023-05-16 09:00:00-04:00,0.71,,
2023-02-22 02:00:00-05:00,0.89,0.89,
2022-11-16 02:00:00-05:00,0.8,0.86,0.075
2022-08-17 03:00:00-04:00,0.67,0.69,0.0376
2022-05-18 03:00:00-04:00,0.6,0.68,0.13140000000000002
2022-02-23 02:00:00-05:00,0.91,0.78,-0.1419
2021-11-17 02:00:00-05:00,0.81,0.84,0.0422
2021-08-18 03:00:00-04:00,0.57,0.79,0.3835
2021-05-19 04:00:00-04:00,0.31,0.44,0.43320000000000003
