Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-30 08:00:00-05:00,,,
2023-10-24 08:00:00-04:00,,,
2023-07-26 08:00:00-04:00,,,
2023-04-26 08:00:00-04:00,5.05,,
2023-02-01 01:00:00-05:00,5.2,5.4,0.0393
2022-10-26 02:00:00-04:00,4.81,5.08,0.055700000000000006
2022-07-28 02:00:00-04:00,4.99,5.51,0.10490000000000001
2022-04-28 02:00:00-04:00,6.18,7.25,0.1729
2022-02-02 01:00:00-05:00,5.27,6.54,0.24050000000000002
2021-10-27 02:00:00-04:00,4.67,5.76,0.2334
2021-07-28 02:00:00-04:00,5.44,5.6,0.0292
2021-04-29 02:00:00-04:00,6.65,7.21,0.0849
